epoch,total_params,train_loss,val_loss,train_loss_delta_%,val_loss_delta_%,train_wer,val_wer,train_wer_delta_%,val_wer_delta_%
1,7259933,4.834706,1.781283,,,99.8427,108.2964,,
2,7259933,2.503574,1.282904,-48.22,-27.98,89.8573,85.4148,-10.00,-21.13
3,7259933,2.040894,1.135205,-18.48,-11.51,81.9488,81.2223,-8.80,-4.91
4,7259933,1.823125,1.058439,-10.67,-6.76,78.0214,78.5061,-4.79,-3.34
5,7259933,1.717241,0.975199,-5.81,-7.86,74.5307,74.6383,-4.47,-4.93
6,7259933,1.625270,0.950558,-5.36,-2.53,72.0833,73.6345,-3.28,-1.34
7,7259933,1.568947,1.014471,-3.47,6.72,70.3920,75.7012,-2.35,2.81
8,7259933,1.518251,0.837882,-3.23,-17.41,69.2083,67.5819,-1.68,-10.73
9,7259933,1.464567,0.808485,-3.54,-3.51,67.9141,69.0286,-1.87,2.14
10,7259933,1.425117,0.778578,-2.69,-3.70,66.5214,67.1981,-2.05,-2.65
11,7259933,1.378711,0.760645,-3.26,-2.30,65.1807,66.9619,-2.02,-0.35
12,7259933,1.332981,0.828585,-3.32,8.93,63.3903,67.8772,-2.75,1.37
13,7259933,1.299711,0.705434,-2.50,-14.86,62.4758,63.3894,-1.44,-6.61
14,7259933,1.252669,0.656308,-3.62,-6.96,61.1728,60.1417,-2.09,-5.12
15,7259933,1.210137,0.777517,-3.40,18.47,59.8211,65.2495,-2.21,8.49
16,7259933,1.170114,0.650300,-3.31,-16.36,58.5305,59.6398,-2.16,-8.60
17,7259933,1.119901,0.615937,-4.29,-5.28,56.7282,55.3292,-3.08,-7.23
18,7259933,1.071907,0.612814,-4.29,-0.51,55.0310,57.2778,-2.99,3.52
19,7259933,1.028068,0.589307,-4.09,-3.84,53.7225,53.8825,-2.38,-5.93
20,7259933,0.975502,0.537184,-5.11,-8.84,51.4924,51.9339,-4.15,-3.62
21,7259933,0.920350,0.509563,-5.65,-5.14,49.8360,49.8671,-3.22,-3.98
22,7259933,0.863862,0.480238,-6.14,-5.75,47.3578,46.7671,-4.97,-6.22
23,7259933,0.809469,0.473770,-6.30,-1.35,45.1267,45.7042,-4.71,-2.27
24,7259933,0.758824,0.433182,-6.26,-8.57,43.3681,43.4898,-3.90,-4.84
25,7259933,0.706646,0.422872,-6.88,-2.38,41.4882,41.6002,-4.33,-4.34
26,7259933,0.658085,0.405796,-6.87,-4.04,39.2009,40.8031,-5.51,-1.92
27,7259933,0.618915,0.403366,-5.95,-0.60,38.3029,39.6516,-2.29,-2.82
28,7259933,0.590631,0.402026,-4.57,-0.33,37.0724,40.1831,-3.21,1.34
29,7259933,0.571506,0.402406,-3.24,0.09,36.1331,40.4783,-2.53,0.73
30,7259933,0.560703,0.403371,-1.89,0.24,35.7447,41.0097,-1.07,1.31
31,7259933,0.561322,0.407362,0.11,0.99,35.5817,40.7440,-0.46,-0.65
32,7259933,0.569684,0.416934,1.49,2.35,36.4394,40.5373,2.41,-0.51
33,7259933,0.590989,0.438574,3.74,5.19,37.1852,41.9841,2.05,3.57
34,7259933,0.622284,0.452368,5.30,3.15,38.8816,45.0841,4.56,7.38
35,7259933,0.668820,0.507050,7.48,12.09,40.4841,46.1766,4.12,2.42
36,7259933,0.731855,0.538264,9.42,6.16,42.7530,50.8119,5.60,10.04
37,7259933,0.799087,0.549014,9.19,2.00,45.3006,50.6053,5.96,-0.41
38,7259933,0.865199,0.614517,8.27,11.93,47.7711,53.9120,5.45,6.53
28,7259933,0.549012,0.572396,,,43.2851,52.4247,,
