epoch,train_loss,val_loss,train_loss_delta_%,val_loss_delta_%,train_wer,val_wer,train_wer_delta_%,val_wer_delta_%
1,4.213905,2.435197,,,100.0329,100.0000,,
2,2.200352,1.379978,-47.78,-43.33,95.7653,95.3488,-4.27,-4.65
3,1.605286,1.124585,-27.04,-18.51,87.9091,81.0078,-8.20,-15.04
4,1.374733,0.963120,-14.36,-14.36,81.3932,77.9070,-7.41,-3.83
5,1.223259,0.880104,-11.02,-8.62,75.9235,67.8295,-6.72,-12.94
6,1.112491,0.833482,-9.06,-5.30,72.0262,70.1550,-5.13,3.43
7,1.018041,0.786522,-8.49,-5.63,68.0546,65.5039,-5.51,-6.63
8,0.941794,0.746594,-7.49,-5.08,65.1140,63.9535,-4.32,-2.37
9,0.875814,0.724505,-7.01,-2.96,62.1874,58.9147,-4.49,-7.88
10,0.814712,0.717793,-6.98,-0.93,59.1624,57.7519,-4.86,-1.97
11,0.762422,0.711035,-6.42,-0.94,56.8914,56.2016,-3.84,-2.68
12,0.713995,0.664142,-6.35,-6.59,54.4374,55.8140,-4.31,-0.69
13,0.667496,0.657536,-6.51,-0.99,52.1028,58.5271,-4.29,4.86
14,0.625492,0.659529,-6.29,0.30,50.3669,60.4651,-3.33,3.31
15,0.586722,0.654532,-6.20,-0.76,48.3393,58.9147,-4.03,-2.56
16,0.549696,0.654883,-6.31,0.05,46.5297,55.0388,-3.74,-6.58
17,0.516308,0.640045,-6.07,-2.27,45.1418,53.4884,-2.98,-2.82
18,0.482216,0.661452,-6.60,3.34,42.8423,52.3256,-5.09,-2.17
19,0.449929,0.637627,-6.70,-3.60,40.7911,56.2016,-4.79,7.41
20,0.418813,0.637508,-6.92,-0.02,39.3997,53.4884,-3.41,-4.83
21,0.388006,0.665298,-7.36,4.36,37.8652,54.2636,-3.89,1.45
22,0.358167,0.662946,-7.69,-0.35,35.0093,51.9380,-7.54,-4.29
23,0.330077,0.692843,-7.84,4.51,33.0689,51.5504,-5.54,-0.75
24,0.302194,0.711295,-8.45,2.66,31.8768,51.1628,-3.60,-0.75
25,0.273876,0.725107,-9.37,1.94,29.7617,50.7752,-6.64,-0.76
26,0.247383,0.745236,-9.67,2.78,28.5999,53.8760,-3.90,6.11
27,0.221246,0.752620,-10.57,0.99,26.2879,50.7752,-8.08,-5.76
28,0.196074,0.802962,-11.38,6.69,24.7540,51.1628,-5.83,0.76
29,0.172373,0.838011,-12.09,4.37,21.3925,52.3256,-13.58,2.27
30,0.149655,0.874786,-13.18,4.39,19.5445,53.4884,-8.64,2.22
31,0.128860,0.915547,-13.90,4.66,16.1886,47.6744,-17.17,-10.87
32,0.109197,0.958066,-15.26,4.64,15.0756,48.0620,-6.88,0.81
33,0.091824,0.999406,-15.91,4.31,11.9652,52.3256,-20.63,8.87
34,0.076742,1.069573,-16.42,7.02,10.3649,50.7752,-13.37,-2.96
35,0.063585,1.092399,-17.14,2.13,8.2926,52.3256,-19.99,3.05
36,0.052767,1.180796,-17.01,8.09,6.7487,51.1628,-18.62,-2.22
37,0.044124,1.179355,-16.38,-0.12,4.8278,52.3256,-28.46,2.27
38,0.037123,1.227315,-15.87,4.07,3.4254,51.5504,-29.05,-1.48
39,0.031727,1.277330,-14.54,4.08,2.8399,53.1008,-17.09,3.01
40,0.028176,1.310823,-11.19,2.62,2.0800,53.1008,-26.76,0.00
41,0.025584,1.332143,-9.20,1.63,2.2668,53.8760,8.98,1.46
42,0.024069,1.339793,-5.92,0.57,2.3778,52.7132,4.90,-2.16
43,0.022682,1.383156,-5.76,3.24,1.7759,53.4884,-25.32,1.47
44,0.022004,1.404704,-2.99,1.56,1.7645,53.8760,-0.64,0.72
45,0.021748,1.451536,-1.16,3.33,1.8738,53.8760,6.19,0.00
46,0.022118,1.475375,1.70,1.64,1.7554,53.8760,-6.32,0.00
47,0.023647,1.490365,6.91,1.02,2.4146,51.5504,37.55,-4.32
48,0.026355,1.512231,11.45,1.47,3.1354,53.8760,29.85,4.51
49,0.031309,1.539461,18.80,1.80,3.9037,53.1008,24.50,-1.44
50,0.039448,1.538608,26.00,-0.06,5.9973,53.8760,53.63,1.46
