epoch,train_loss,val_loss,train_loss_delta_%,val_loss_delta_%,train_wer,val_wer,train_wer_delta_%,val_wer_delta_%
1,2.987003,2.219852,,,99.8977,98.1876,,
2,1.366027,0.894987,-54.27,-59.68,85.6572,73.9532,-14.26,-24.68
3,0.950981,0.776540,-30.38,-13.23,70.8485,64.7513,-17.29,-12.44
4,0.798858,0.598721,-16.00,-22.90,61.8557,53.1525,-12.69,-17.91
5,0.716711,0.575363,-10.28,-3.90,55.9905,50.6158,-9.48,-4.77
6,0.674377,0.605000,-5.91,5.15,52.5098,51.2739,-6.22,1.30
7,0.613161,0.529063,-9.08,-12.55,48.2229,46.7832,-8.16,-8.76
8,0.577724,0.528481,-5.78,-0.11,45.6235,45.1160,-5.39,-3.56
9,0.555186,0.576401,-3.90,9.07,44.0099,48.1821,-3.54,6.80
10,0.540976,0.478184,-2.56,-17.04,43.2546,41.6271,-1.72,-13.60
11,0.525686,0.772144,-2.83,61.47,42.3084,54.7848,-2.19,31.61
12,0.513950,0.440681,-2.23,-42.93,41.4930,41.1511,-1.93,-24.89
13,0.503514,0.491464,-2.03,11.52,40.9895,43.0039,-1.21,4.50
14,0.494122,0.689572,-1.87,40.31,40.5627,54.4226,-1.04,26.55
15,0.485548,0.448147,-1.74,-35.01,39.8250,39.5427,-1.82,-27.34
16,0.477599,0.423205,-1.64,-5.57,39.2291,37.8957,-1.50,-4.17
17,0.469351,0.405721,-1.73,-4.13,38.8633,36.9950,-0.93,-2.38
18,0.460897,0.452480,-1.80,11.52,38.1445,39.3938,-1.85,6.48
19,0.451310,0.427280,-2.08,-5.57,37.5795,38.1365,-1.48,-3.19
20,0.442097,0.415321,-2.04,-2.80,37.0873,37.6567,-1.31,-1.26
21,0.433705,0.377479,-1.90,-9.11,36.4163,33.9326,-1.81,-9.89
22,0.426148,0.424731,-1.74,12.52,35.9091,36.8497,-1.39,8.60
23,0.415414,0.372897,-2.52,-12.20,35.0020,35.5483,-2.53,-3.53
24,0.405217,0.413517,-2.45,10.89,34.3850,36.8939,-1.76,3.79
25,0.394510,0.347935,-2.64,-15.86,33.7678,32.9896,-1.80,-10.58
26,0.382129,0.366581,-3.14,5.36,33.0494,33.5466,-2.13,1.69
27,0.372536,0.351007,-2.51,-4.25,32.2548,34.1421,-2.40,1.78
28,0.360753,0.352990,-3.16,0.56,31.5033,32.5742,-2.33,-4.59
29,0.347511,0.336692,-3.67,-4.62,30.5829,32.0797,-2.92,-1.52
30,0.335710,0.333257,-3.40,-1.02,29.7300,30.7893,-2.79,-4.02
31,0.321890,0.327897,-4.12,-1.61,28.7309,28.8114,-3.36,-6.42
32,0.309304,0.474701,-3.91,44.77,27.8058,39.9048,-3.22,38.50
51,7259933,0.046070,0.124539,-2.69,-0.45,8.2310,11.7435,0.08,-17.83
31,7259933,0.323709,0.314786,-3.56,-15.06,27.3170,33.4410,-2.99,-6.07
